Life Ladder;Log GDP per capita;Social support;Healthy life expectancy at birth;Freedom to make life choices;Generosity;Perceptions of corruption;Positive affect
1.0;0.95;0.99;1.0;0.0;0.1;0.0;0.66
1.0;0.96;0.84;1.0;0.0;0.09;0.16;0.64
0.94;0.97;0.54;1.0;0.0;0.01;0.02;0.63
0.95;0.97;0.39;1.0;0.0;0.08;0.0;0.65
0.91;0.99;0.03;1.0;0.0;0.98;0.0;0.66
0.93;1.0;0.0;1.0;0.0;0.58;0.0;0.57
0.83;1.0;0.08;1.0;0.0;0.0;0.0;0.53
0.94;1.0;0.0;1.0;0.0;0.35;0.0;0.63
0.87;1.0;0.19;1.0;0.0;0.83;0.0;0.58
0.97;1.0;0.03;1.0;0.0;0.34;0.0;0.61
0.99;1.0;0.46;1.0;0.0;0.0;0.0;0.65
0.96;1.0;0.0;1.0;0.0;0.09;0.0;0.63
0.98;1.0;1.0;1.0;0.0;0.0;0.0;0.65
0.96;0.99;0.11;1.0;0.0;0.0;0.0;0.66
0.95;0.99;0.17;1.0;0.0;0.0;0.0;0.67
0.91;0.98;0.0;1.0;0.38;0.02;0.0;0.7
1.0;0.98;0.0;1.0;0.9;0.0;0.0;0.65
0.98;0.97;0.0;1.0;0.87;0.0;0.0;0.66
0.95;0.96;0.01;1.0;0.95;0.0;0.0;0.66
0.92;0.96;0.0;1.0;0.0;0.0;0.0;0.7
0.85;0.99;0.0;0.96;0.0;0.0;0.78;0.74
1.0;0.99;0.26;0.96;0.0;0.0;0.22;0.76
0.33;1.0;0.0;0.97;0.0;0.0;0.14;0.78
0.32;0.99;0.0;0.97;0.0;0.0;0.13;0.8
0.89;1.0;0.15;0.97;0.03;0.0;0.14;0.8
0.59;0.99;0.01;0.97;0.64;0.0;1.0;0.73
0.54;0.98;0.0;0.98;0.09;0.0;0.99;0.72
0.42;0.99;0.84;0.98;0.0;0.0;0.0;0.72
0.31;0.99;0.04;0.98;0.0;0.0;0.87;0.72
0.32;0.98;0.04;0.98;0.0;0.0;0.89;0.69
0.3;0.98;0.73;0.98;0.0;0.0;0.21;0.72
0.3;0.98;0.1;0.98;0.0;0.0;0.41;0.71
0.29;0.98;0.0;0.98;0.88;0.0;0.05;0.68
